date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:36:15	44149/44149	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2012:17:16%20GMT	http://www.w3schools.com/bootstrap/bootstrap_navbar.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_navbar.html	(from http://www.w3schools.com/bootstrap/)
19:36:16	38547/38547	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:41:48%20GMT	http://www.w3schools.com/bootstrap/bootstrap_forms.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_forms.html	(from http://www.w3schools.com/bootstrap/)
19:36:17	36911/36911	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:38:32%20GMT	http://www.w3schools.com/bootstrap/bootstrap_forms_inputs.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_forms_inputs.html	(from http://www.w3schools.com/bootstrap/)
19:36:17	37031/37031	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:07:23%20GMT	http://www.w3schools.com/bootstrap/bootstrap_forms_inputs2.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_forms_inputs2.html	(from http://www.w3schools.com/bootstrap/)
19:36:18	33808/33808	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2012:42:51%20GMT	http://www.w3schools.com/bootstrap/bootstrap_forms_sizing.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_forms_sizing.html	(from http://www.w3schools.com/bootstrap/)
19:36:19	40375/40375	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:30:14%20GMT	http://www.w3schools.com/bootstrap/bootstrap_carousel.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_carousel.html	(from http://www.w3schools.com/bootstrap/)
19:36:19	34928/34928	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:56:34%20GMT	http://www.w3schools.com/bootstrap/bootstrap_modal.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_modal.html	(from http://www.w3schools.com/bootstrap/)
19:36:20	31561/31561	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:49:44%20GMT	http://www.w3schools.com/bootstrap/bootstrap_tooltip.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_tooltip.html	(from http://www.w3schools.com/bootstrap/)
19:36:20	33444/33444	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2012:27:41%20GMT	http://www.w3schools.com/bootstrap/bootstrap_popover.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_popover.html	(from http://www.w3schools.com/bootstrap/)
19:36:21	32940/32940	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:10:23%20GMT	http://www.w3schools.com/bootstrap/bootstrap_scrollspy.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_scrollspy.html	(from http://www.w3schools.com/bootstrap/)
